mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778269525.2392435,22869,-4.49,3.57,6.85,-3.71,1.33,0.64
1778269525.2691848,22891,-4.29,3.52,6.69,-3.81,0.86,0.50
1778269525.2839222,22913,-4.29,3.51,6.74,-4.68,0.25,-0.35
1778269525.314286,22935,-4.32,3.48,6.76,-3.29,-0.50,-0.66
1778269525.328791,22957,-4.36,3.57,6.66,-2.71,-0.73,-0.63
1778269525.3595335,22979,-4.32,3.49,6.85,-2.28,0.08,-0.04
1778269525.373842,23001,-4.34,3.59,6.64,-2.54,0.56,-0.27
1778269525.4046173,23023,-4.32,3.71,6.68,-3.17,1.05,-0.34
1778269525.4199102,23045,-4.28,3.69,6.63,-3.99,0.91,-0.88
1778269525.43557,23067,-4.37,3.55,6.63,-4.17,1.18,-0.79
1778269525.4645622,23089,-4.33,3.58,6.72,-5.92,0.48,-1.14
1778269525.4817762,23111,-4.27,3.46,6.72,-5.83,0.32,-1.69
1778269525.5249717,23133,-4.33,3.48,6.79,-4.67,1.11,-1.84
1778269525.5269063,23155,-4.41,3.51,6.80,-4.10,1.28,-2.16
1778269525.5547993,23177,-4.28,3.52,6.73,-3.71,1.29,-2.23
1778269525.5693214,23199,-4.31,3.54,6.76,-3.73,1.85,-2.35
1778269525.5995874,23221,-4.42,3.58,6.59,-3.56,2.27,-3.26
1778269525.6152356,23243,-4.38,3.42,6.74,-3.98,2.97,-3.58
1778269525.6447358,23265,-4.48,3.37,6.68,-3.60,3.38,-4.14
1778269525.6595104,23287,-4.49,3.41,6.74,-2.86,4.34,-4.24
1778269525.6899235,23309,-4.39,3.45,6.63,-1.28,6.29,-5.35
1778269525.704442,23331,-4.59,3.51,6.65,-0.85,7.33,-6.75
1778269525.7348146,23353,-4.54,3.45,6.62,1.87,11.15,-8.79
1778269525.74948,23375,-4.15,3.63,6.46,5.48,21.23,-13.24
1778269525.7646923,23397,-4.25,3.40,6.88,9.57,30.99,-20.44
1778269525.7944436,23419,-3.90,3.44,6.64,16.75,48.85,-30.20
1778269525.8095887,23441,-4.21,3.72,7.13,17.53,72.83,-44.30
1778269525.839354,23463,-4.49,4.03,6.55,3.16,92.53,-56.66
1778269525.8539472,23485,-5.41,4.69,6.56,-15.90,109.21,-68.90
1778269525.8848124,23507,-6.17,3.46,6.28,-40.67,113.36,-78.84
1778269525.899391,23529,-6.61,3.07,6.07,-50.58,115.24,-88.18
1778269525.9299817,23551,-7.04,2.98,5.78,-47.27,115.40,-102.92
1778269525.9443314,23573,-7.30,2.91,5.69,-27.75,114.89,-118.95
1778269525.9744284,23595,-6.76,7.63,8.35,5.88,100.03,-117.09
1778269525.9895692,23617,-2.37,13.02,11.61,2.58,15.27,-80.55
1778269526.0193217,23639,0.22,11.53,8.98,12.32,-40.23,-41.47
1778269526.0347857,23661,-0.79,10.21,8.02,32.79,-70.52,-10.24
1778269526.0647075,23683,-2.45,8.94,7.41,37.98,-94.78,14.82
1778269526.079006,23705,-3.42,6.86,6.63,44.18,-103.97,30.84
1778269526.0942802,23727,-4.28,5.93,6.61,56.99,-100.84,46.26
1778269526.1245153,23749,-5.05,5.75,6.57,54.75,-93.49,59.38
1778269526.1393318,23771,-4.87,5.14,6.40,54.11,-80.99,68.72
1778269526.1693237,23793,-5.05,5.02,6.85,50.89,-72.66,72.88
1778269526.184427,23815,-5.21,4.28,7.51,48.53,-64.18,75.28
1778269526.2148688,23837,-4.45,4.32,6.25,50.07,-50.21,78.97
1778269526.2292101,23859,-5.99,4.51,7.30,25.08,-48.69,71.89
1778269526.2593236,23881,-5.15,2.79,5.91,-8.49,-49.00,46.85
1778269526.274418,23903,-5.94,2.68,6.81,-15.80,-37.95,25.44
1778269526.3043716,23925,-5.78,3.38,5.64,3.46,-20.85,28.24
1778269526.3203669,23947,-9.54,4.80,7.07,37.23,-5.44,53.76
1778269526.3500144,23969,-9.56,4.02,6.60,61.99,-2.37,90.83
1778269526.3653364,23991,-8.44,2.42,4.22,86.66,17.79,117.75
1778269526.3951683,24013,-7.63,1.35,2.51,88.69,53.69,118.63
1778269526.4096267,24035,-9.65,0.78,4.38,70.89,75.47,108.96
1778269526.4242196,24057,-11.71,-0.26,6.24,67.26,59.57,111.98
1778269526.469701,24079,-10.27,-2.40,4.86,66.49,33.77,101.56
1778269526.471326,24101,-9.06,-4.03,2.68,64.74,21.97,57.69
1778269526.5299168,24123,-11.07,-4.54,-1.16,57.37,41.80,-19.59
1778269526.5310886,24145,-12.07,-2.46,3.70,-117.05,-4.68,-121.71
1778269526.5887725,24167,-8.36,-8.08,3.97,-221.66,-75.30,-212.58
1778269526.5903451,24189,-15.45,19.62,12.20,-172.49,-75.56,-106.55
1778269526.5917404,24211,-1.55,-7.69,15.78,-135.79,-34.44,-40.05
1778269526.64904,24233,-5.75,6.18,3.09,-16.79,-10.37,-8.32
1778269526.650376,24255,-7.93,12.21,0.22,-24.92,-10.89,-5.08
1778269526.6511316,24277,-4.69,3.12,7.26,-13.40,-6.66,-5.84
1778269526.709092,24299,-4.56,3.28,6.80,-18.88,-8.97,-3.11
1778269526.7106147,24321,-4.06,2.97,6.93,-17.79,-7.60,-3.33
1778269526.7117758,24343,-4.25,2.91,7.02,-9.55,-3.85,-1.52
1778269526.769247,24365,-4.57,3.24,6.65,-5.33,-0.34,0.57
1778269526.7705078,24387,-4.59,3.40,6.63,-5.92,-0.85,0.73
1778269526.8297222,24409,-4.48,3.34,6.67,-5.99,-0.01,1.02
1778269526.8313937,24431,-4.31,3.17,6.84,-3.99,2.36,1.92
1778269526.8328147,24453,-4.43,3.34,6.72,-2.30,3.75,2.04
1778269526.889544,24475,-4.45,3.34,6.66,-2.24,3.79,1.62
1778269526.8907628,24497,-4.45,3.37,6.66,-3.04,3.39,0.92
1778269526.8915658,24519,-4.42,3.49,6.77,-5.34,1.89,-0.39
1778269526.9492824,24541,-4.39,3.35,6.73,-7.15,1.16,-1.52
