mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778267518.2716932,1381729,-4.39,3.03,6.89,-0.18,24.55,-18.53
1778267518.3041084,1381751,-4.56,2.92,6.88,2.15,39.19,-21.02
1778267518.3158464,1381773,-4.46,3.09,6.80,3.97,61.28,-29.58
1778267518.3467822,1381795,-4.36,3.14,6.83,-0.32,82.44,-36.89
1778267518.3603458,1381817,-4.26,3.09,6.45,-2.90,108.13,-43.33
1778267518.39149,1381839,-4.35,3.96,6.21,-8.60,153.40,-63.02
1778267518.4053895,1381861,-4.50,4.16,6.77,-33.20,210.99,-102.69
1778267518.4211223,1381883,-4.78,3.91,7.11,-57.69,250.13,-148.88
1778267518.4506507,1381905,-7.45,7.07,7.22,-138.02,250.13,-247.57
1778267518.4662108,1381927,-16.76,2.86,11.39,-162.63,250.13,-250.14
1778267518.495617,1381949,-19.62,4.40,8.96,-162.62,250.13,-250.14
1778267518.5109391,1381971,-19.62,7.08,13.62,-140.68,250.13,-250.14
1778267518.5414155,1381993,-14.33,14.02,15.08,-136.95,162.47,-250.14
1778267518.571949,1382015,7.82,-1.58,16.97,-46.02,55.94,-237.27
1778267518.5852447,1382037,-8.55,9.96,6.19,98.27,-21.66,-40.79
1778267518.6015074,1382059,-5.56,11.14,7.17,154.92,-141.10,93.02
1778267518.6321318,1382081,-2.45,7.10,4.66,115.97,-193.10,137.25
1778267518.6464918,1382103,-1.37,4.09,2.39,94.47,-212.03,150.73
1778267518.676153,1382125,-0.10,2.15,1.18,104.07,-199.15,151.37
1778267518.6908417,1382147,-2.35,2.50,3.87,146.24,-177.13,163.90
1778267518.7212753,1382169,-5.57,4.15,5.96,160.53,-187.51,187.52
1778267518.737115,1382191,-7.13,3.84,6.48,158.72,-203.06,202.37
1778267518.7504656,1382213,-8.98,3.13,7.48,186.31,-205.28,214.01
1778267518.7813008,1382235,-10.79,3.02,8.91,217.40,-195.50,224.52
1778267518.7965317,1382257,-14.25,3.14,10.86,247.69,-186.31,226.17
1778267518.8259368,1382279,-18.70,4.71,10.71,250.13,-164.92,243.63
1778267518.8410609,1382301,-19.62,3.10,9.75,221.93,-119.37,250.13
1778267518.871374,1382323,-19.62,-3.36,8.13,206.52,-72.45,250.13
1778267518.8864024,1382345,-19.62,-10.60,5.14,239.69,-8.27,243.31
1778267518.9165268,1382367,-19.62,-9.93,0.45,187.07,31.27,221.74
1778267518.9309492,1382389,-19.62,-19.62,-1.37,125.59,99.67,167.23
1778267518.9614613,1382411,-14.97,-14.94,-2.29,-8.61,104.29,-8.04
