mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778268661.083223,146640,-4.63,4.05,6.16,-2.43,0.85,0.79
1778268661.097168,146662,-4.64,4.04,6.28,-2.81,0.68,0.59
1778268661.1257641,146684,-4.68,4.05,6.15,-2.88,0.60,0.71
1778268661.1409423,146706,-4.62,4.02,6.30,-2.56,0.69,0.89
1778268661.1710575,146728,-4.62,4.03,6.24,-2.15,0.73,0.83
1778268661.186047,146750,-4.59,4.07,6.26,-2.01,0.37,1.09
1778268661.2160652,146772,-4.71,4.04,6.27,-1.71,0.64,1.06
1778268661.2308702,146794,-4.65,4.01,6.25,-1.93,0.63,0.98
1778268661.2614448,146816,-4.65,4.05,6.30,-2.36,0.70,0.55
1778268661.2759097,146838,-4.67,4.03,6.22,-2.70,0.67,0.63
1778268661.2918546,146860,-4.72,4.05,6.27,-3.10,0.54,0.70
1778268661.3235831,146882,-4.61,3.98,6.31,-2.91,0.63,0.66
1778268661.3362904,146904,-4.67,4.06,6.21,-2.96,0.81,0.73
1778268661.3669682,146926,-4.65,4.03,6.29,-2.92,0.53,0.85
1778268661.3813334,146948,-4.66,4.06,6.27,-2.91,0.69,0.88
1778268661.413072,146970,-4.62,4.06,6.27,-2.36,0.73,0.96
1778268661.4266067,146992,-4.67,4.02,6.23,-1.81,0.43,0.89
1778268661.4564824,147014,-4.65,4.04,6.31,-2.28,0.42,0.73
1778268661.471277,147036,-4.67,4.06,6.21,-2.65,0.59,0.74
1778268661.5043597,147058,-4.62,4.05,6.39,-2.75,0.67,0.57
1778268661.5174842,147080,-4.67,4.05,6.29,-3.16,0.54,0.66
1778268661.547186,147102,-4.60,4.06,6.22,-2.76,0.50,0.84
1778268661.5613568,147124,-4.62,4.04,6.23,-2.45,0.61,0.63
1778268661.5916727,147146,-4.65,4.04,6.33,-2.31,0.63,0.74
1778268661.6064718,147168,-4.65,4.07,6.30,-2.37,0.61,0.69
1778268661.6216161,147190,-4.62,4.02,6.23,-2.37,0.66,0.38
1778268661.6518466,147212,-4.65,4.06,6.27,-2.56,0.74,0.42
