1791011,-3607,-4712,208,6554,-1013,-1693,44.06
1791031,-4335,-4960,676,7664,-984,-2271,43.97
1791051,-5411,-5180,-84,9600,-1102,-3164,44.01
1791071,-5399,-5184,-268,12813,-1045,-4171,43.54
1791091,-5107,-4488,-112,15192,-1169,-5705,44.06
1791111,-4271,-4352,-784,17004,-281,-6940,43.78
1791131,-3303,-3956,-2036,18919,1841,-7366,44.01
1791151,-2411,-2932,-2896,20641,4215,-7306,43.87
1791171,-2531,-2256,-3600,20447,5612,-7339,43.82
1791191,-1775,-452,-1936,18076,5903,-6643,43.82
1791211,-1499,-932,-2468,14454,5642,-6906,43.97
1791231,897,-584,-2316,12439,6961,-7605,43.82
1791251,1813,-348,-1956,11396,8720,-8387,44.01
1791271,1281,184,-2012,10977,10995,-9188,44.15
1791291,1741,-36,-1372,10868,12565,-9590,44.01
1791311,1853,-488,-1024,11276,14108,-9644,43.97
1791331,1701,-376,-1504,12144,15612,-9192,43.82
1791351,897,-92,-3336,13280,16617,-8613,44.15
1791371,421,520,-4192,14323,16546,-8200,44.15
1791391,-375,1296,-4024,14445,16105,-7944,44.06
1791411,-835,1900,-3792,12526,16303,-8378,44.06
1791431,-1695,2384,-4256,9993,15391,-8474,43.97
1791451,-2159,1980,-4856,7811,14267,-8845,43.97
1791471,-2539,1004,-5280,6966,13744,-9141,44.01
1791491,-3203,892,-4576,5089,13006,-9630,44.06
1791511,-3907,992,-4524,2812,12090,-9899,44.06
1791531,-4423,700,-4888,963,11055,-9707,44.01
1791551,-5203,568,-4984,-80,10195,-9423,44.06
1791571,-5531,216,-5460,-624,8643,-8905,44.01
1791591,-5163,-592,-5760,-795,7176,-8087,44.01
1791611,-5095,-1272,-5804,-528,6289,-6668,44.01
1791631,-4851,-1780,-6008,-103,4970,-5156,44.06
1791651,-4395,-1908,-5856,486,3882,-3590,43.97
1791671,-4175,-2244,-5872,1099,3388,-2381,43.87
1791691,-4083,-3164,-6556,1511,2312,-1464,44.15
1791711,-3119,-2044,-6792,2320,2037,423,43.82
1791731,-4807,-4164,-6740,5279,811,1615,43.68
1791751,-3267,-2568,-6616,5067,1879,143,43.82
1791771,-4571,-2216,-6784,3976,1137,1035,43.97
1791791,-4863,-2908,-7084,2296,61,1266,43.97
1791811,-4819,-3140,-7216,1256,-351,1197,43.87
1791831,-4819,-4208,-7676,296,-1233,1190,43.54
1791851,-4319,-4612,-8060,458,-1673,1332,44.06
1791871,-4403,-4764,-8308,1194,-1542,1311,43.97
1791891,-4315,-4848,-8524,1713,-1627,1110,44.01
1791911,-3967,-4884,-8416,2267,-1720,987,44.01
1791931,-3671,-4808,-8580,2694,-1484,934,44.15
1791951,-3687,-4100,-8328,2897,-1341,777,44.01
1791971,-3463,-3648,-8396,2520,-1222,655,43.87
1791991,-3431,-3572,-8160,1634,-914,510,43.87
1792011,-3171,-4136,-8076,629,-1194,412,43.87
1792031,-3167,-4048,-8240,308,-703,484,43.82
1792051,-4095,-3736,-8308,540,-424,255,43.87
1792071,-4627,-3600,-8500,730,-346,-34,44.06
1792091,-4835,-3636,-8468,891,-456,-255,43.97
1792111,-4731,-3724,-8040,943,-352,-343,44.01
1792131,-5259,-3516,-7508,842,50,-286,43.97
1792151,-5247,-3604,-7304,323,-95,-176,43.97
1792171,-4747,-3464,-7212,-26,-506,127,44.15
1792191,-5071,-3536,-7332,-185,-206,157,43.82
1792211,-5419,-3316,-6968,-444,-255,-3,44.01
1792231,-5203,-3224,-7060,-568,-718,-110,43.97
1792251,-4691,-3600,-7012,-362,-944,-136,44.15
1792271,-4843,-3652,-7104,252,-940,-116,43.82
1792291,-5147,-3172,-6956,914,-1074,-178,44.01
1792311,-4875,-2944,-6760,1193,-1574,60,43.97
1792331,-4379,-2920,-6520,1296,-1450,256,43.82
1792351,-4359,-3412,-6728,1434,-1798,580,44.15
1792371,-4419,-3004,-7080,1852,-2439,891,43.82
1792391,-3455,-2980,-7268,2206,-3029,1254,44.01
1792411,-3167,-2876,-7092,2630,-2701,1786,43.54
1792431,-3559,-2716,-6524,2651,-2610,1871,44.01
1792451,-3607,-2848,-5852,1972,-3389,1843,44.06
1792471,-2843,-3344,-6468,1909,-3973,1890,43.82
1792491,-2259,-3480,-6860,3226,-3914,2050,43.82
1792511,-2103,-2712,-6520,4467,-3821,1993,43.82
1792531,-1635,-2272,-6292,5081,-3834,2012,44.01
1792551,-1703,-1772,-6048,5132,-3361,2221,43.87
1792571,-2335,-1516,-5672,4526,-3512,2369,43.82
1792591,-1827,-1384,-5564,3612,-3674,3026,43.87
1792611,-2127,-1528,-5776,3333,-3884,3987,43.64
1792631,-2047,-1996,-6228,4424,-2845,3184,43.78
1792651,-2335,-1452,-6004,5213,-2060,3763,44.01
1792671,-3079,-1664,-5864,5405,-1490,3891,43.87
1792691,-3011,-1716,-5728,5957,-890,3888,43.97
1792711,-3399,-1408,-5248,6339,-217,3711,44.01
1792731,-3139,-1172,-4736,6221,529,3174,44.01
1792751,-2499,-996,-4340,6088,1142,2619,43.82
1792771,-2187,-932,-4232,5809,1887,2110,43.82
1792791,-1839,-348,-3560,4767,2716,1721,43.87
1792811,-2739,-84,-3180,2560,3530,1204,44.06
1792831,-2339,-408,-3116,74,3436,1008,44.06
1792851,-1527,-384,-2912,-1716,3882,1473,43.87
1792871,-3167,-288,-2440,-3561,4905,816,43.87
1792891,-3887,-1460,-2816,-5529,4547,825,44.01
1792911,-4987,-2016,-3308,-6190,3483,987,43.87
1792931,-3855,-3020,-4228,-5429,2557,743,44.06
1792951,-3511,-2100,-4248,-4394,3017,543,44.15
1792971,-4687,-1392,-4248,-4846,2839,188,43.97
1792991,-5347,-1524,-4192,-5436,2560,722,43.87
1793011,-5795,-1364,-4104,-5617,1778,1051,43.82
1793031,-5495,-1388,-4684,-5493,754,911,44.01
1793051,-4639,-2024,-5280,-3716,650,130,44.01
1793071,-4211,-956,-4996,-1365,608,-166,44.15
1793091,-4039,124,-4604,-971,227,-209,44.06
1793111,-4119,1240,-4228,-2460,-200,131,44.01
1793131,-4023,1092,-4460,-4826,-1095,695,43.97
1793151,-3107,-28,-4964,-6315,-1352,1650,43.82
1793171,-2563,-156,-4952,-5631,-248,2046,43.97
1793191,-3059,168,-5520,-3709,670,2111,43.82
1793211,-4315,2152,-5492,-817,802,1989,44.06
1793231,-3367,1944,-4420,14,430,921,44.01
1793251,-2971,2912,-5992,337,-399,3008,43.82
1793271,-975,1128,-6368,551,-1331,4634,44.01
1793291,-223,1792,-6620,1894,135,6036,43.82
1793311,-1611,3684,-7220,2032,888,6460,44.01
1793331,-1763,2480,-6356,634,209,5234,43.87
1793351,-1147,3072,-6584,309,786,4774,44.15
1793371,-1271,1932,-5964,1145,965,4619,43.87
1793391,-2543,2308,-6044,2350,1528,4567,44.06
1793411,-3691,2644,-4952,5293,129,4919,44.06
1793431,-2819,108,-4212,8408,-197,5195,43.82
1793451,-2651,1016,-5788,19324,1201,9396,43.87
1793471,-3959,9448,-5456,21937,1347,9459,44.20
1793491,-1579,6852,-6568,16233,907,7861,43.97
1793511,-191,5928,-7696,14056,2693,8521,44.01
1793531,-815,5112,-7228,12588,3769,6772,44.01
1793551,-1555,6192,-6024,8320,4119,5961,44.01
1793571,-1235,5688,-6492,4149,4824,4038,43.82
1793591,-3023,4220,-7136,1797,5697,1105,43.87
1793611,-3223,4084,-6520,2408,6127,447,43.82
1793631,-1851,4732,-7244,3037,4812,20,44.06
1793651,-735,6820,-7328,4088,4550,400,43.87
1793671,-1879,9132,-7200,1447,2603,403,43.97
1793691,-3507,9368,-6732,-1873,1799,75,43.78
1793711,-2759,9096,-6972,-4054,-446,637,43.82
1793731,-579,6856,-8084,-5704,130,-619,43.97
1793751,117,2292,-8656,-4083,1378,-148,44.15
1793771,-3859,5148,-7852,626,2937,-426,44.06
1793791,-4691,7336,-8816,-1181,499,-46,44.06
1793811,-3055,6016,-11108,-2852,599,698,44.06
1793831,-3199,5572,-12712,-841,784,796,43.87
1793851,-2515,5412,-10112,2213,861,580,43.97
1793871,-3751,5076,-5392,3501,748,398,43.78
1793891,-4223,7012,-5652,2474,631,195,43.82
1793911,-3855,7840,-6888,-1510,-1735,473,44.01
1793931,-2211,7364,-7096,-3218,-2390,22,44.06
1793951,-2723,5748,-6428,-625,-248,-389,43.97
1793971,-4267,5764,-3292,-36,543,-436,44.01
1793991,-4863,7692,-4064,-2969,-956,193,43.87
1794011,-3683,7804,-5152,-6805,-2367,-64,43.97
1794031,-2375,5220,-6060,-7435,-810,-190,43.87
1794051,-3443,5920,-5084,-7131,-318,-439,43.78
1794071,-3203,6988,-4916,-8954,-486,-731,43.87
1794091,-2079,5800,-7236,-10833,-1149,-678,44.01
1794111,-1935,3384,-7520,-9072,-354,-362,44.01
1794131,-2503,3148,-7060,-6123,322,-692,44.15
1794151,-2783,4420,-6128,-3590,1043,-645,44.01
1794171,-2867,4620,-5664,-2956,391,-589,43.97
1794191,-2583,4640,-5840,-1354,483,-861,43.87
1794211,-2903,3788,-5992,-111,375,-957,44.06
1794231,-2687,3560,-6976,1340,-178,-300,43.87
1794251,-2199,3252,-7048,3060,-110,357,43.82
1794271,-2679,3796,-5304,4111,-352,201,44.06
1794291,-2463,4452,-5460,4338,-649,212,43.82
1794311,-2147,5004,-5812,6658,-679,641,44.06
1794331,-2539,5928,-5252,8587,-976,793,43.97
1794351,-1635,6316,-5388,9703,-1637,1315,44.06
1794371,-1343,5232,-5288,10749,-1277,948,43.97
1794391,-1211,6720,-5240,11728,-996,989,43.87
1794411,-719,7128,-5276,10259,-1044,500,43.97
1794431,-703,6200,-5340,6734,-536,300,44.06
1794451,-1027,5056,-5356,4969,470,-789,43.68
1794471,-1287,6004,-6068,3761,1068,-1554,43.82
1794491,-1763,7328,-5400,2163,1220,-2708,43.78
1794511,-883,6720,-4648,1274,1561,-3966,44.01
1794531,-1211,7472,-4192,-1150,910,-5537,43.97
1794551,-815,7544,-6304,-5759,-180,-6307,43.97
1794571,677,6308,-8668,-8614,850,-4971,44.01
1794591,-2459,5152,-7308,-7841,2371,-5727,43.82
1794611,-3227,3036,-3448,-8687,2141,-6096,43.68
1794631,-4543,2992,-3576,-10736,2272,-4332,43.82
1794651,-3483,2568,-4856,-11680,-496,-3336,43.97
1794671,-3767,2396,-5060,-11240,327,-3000,44.06
1794691,-4359,308,-5320,-9694,1272,-3782,44.06
1794711,-3919,-972,-5376,-6396,1242,-4392,43.87
1794731,-4187,-312,-5808,-1851,2357,-5092,44.01
1794751,-4347,2556,-5192,1394,2684,-5415,43.82
1794771,-4419,2460,-4504,2557,2335,-5253,44.06
1794791,-4731,2256,-4424,4177,2165,-4189,43.82
1794811,-3287,2116,-4916,5273,889,-2553,44.01
1794831,-2495,2724,-5172,6293,1268,-1248,43.82
1794851,-2763,2720,-5312,6321,1417,-702,43.82
1794871,-2771,2700,-5216,6523,1341,-673,43.87
1794891,-2911,3016,-5288,6458,1354,-870,44.15
1794911,-3379,3524,-5224,5961,1864,-1152,43.87
1794931,-3951,4460,-3380,3213,-205,-1311,43.82
1794951,-3087,2784,-4280,1396,-732,-812,43.82
1794971,-2783,2424,-5368,1745,25,-407,43.82
1794991,-2771,3196,-5556,1785,239,48,43.87
1795011,-2991,2944,-5568,1465,260,-8,44.15
1795031,-3083,2584,-5608,1323,413,-113,44.06
1795051,-2939,2716,-5400,916,595,-128,43.82
1795071,-3051,2452,-5584,833,713,-111,43.87
1795091,-2699,2212,-5516,1384,855,-32,43.78
1795111,-3467,2616,-5612,2204,817,-101,44.06
1795131,-3175,2716,-5472,2502,478,-99,43.78
1795151,-3147,2780,-5308,2901,398,-22,43.82
1795171,-3219,2976,-5280,3116,141,-38,43.82
1795191,-3291,3256,-5208,2872,58,-22,43.82
1795211,-3779,3160,-4980,2438,-303,-126,43.87
1795231,-3579,3032,-5260,2128,-471,-159,43.87
1795251,-3159,3044,-5452,1814,-545,-146,44.01
1795271,-2899,3264,-5472,1434,-253,-166,43.97
1795291,-2991,3056,-5480,916,16,-309,44.15
1795311,-2883,2664,-5156,405,347,-481,44.29
1795331,-3059,2464,-5392,185,472,-825,44.15
1795351,-3127,2488,-5352,144,603,-1074,44.06
1795371,-2955,2388,-5596,202,579,-1202,43.97
1795391,-2867,2508,-6072,425,690,-1249,44.01
1795411,-2715,2144,-5908,512,1075,-1162,44.06
1795431,-2975,2424,-6032,802,1664,-977,44.01
1795451,-3191,2692,-5776,728,1734,-1103,44.06
1795471,-3359,2732,-5708,459,1646,-1206,44.06
1795491,-3451,2624,-5760,383,1581,-1284,43.97
1795511,-3591,2616,-5828,264,1534,-1370,43.97
1795531,-3663,2732,-5820,30,1364,-1169,44.06
1795551,-3671,3056,-4924,-660,809,-1066,44.06
1795571,-3187,2648,-5128,-1049,538,-970,44.06
1795591,-2731,2156,-6428,-893,489,-685,44.20
1795611,-2819,1824,-5504,-868,11,-607,43.87
1795631,-3331,2920,-3952,-1313,-107,-773,43.97
1795651,-2775,2748,-3832,-1736,485,-458,43.97
1795671,-3175,1964,-4184,-1407,706,-662,43.97
1795691,-2751,1944,-4792,-832,690,-737,44.01
1795711,-2867,1900,-5160,-267,1008,-821,44.01
1795731,-3351,2044,-4828,172,1045,-810,44.06
1795751,-3507,2472,-4748,-43,893,-795,43.87
1795771,-3375,2516,-5004,-348,627,-716,43.78
1795791,-3127,2104,-5288,-254,630,-643,43.97
1795811,-2915,1684,-5704,249,779,-540,44.01
1795831,-3055,1576,-5348,632,929,-419,44.15
1795851,-3251,1748,-5496,1082,885,-359,44.06
1795871,-3271,1672,-5536,1486,807,-379,44.06
1795891,-3219,1756,-5540,1741,881,-365,44.01
1795911,-3291,1956,-5596,1807,872,-407,44.01
1795931,-3387,2032,-5356,1634,897,-481,43.97
1795951,-3399,2084,-5060,1393,842,-501,44.15
1795971,-3359,1960,-5160,1301,786,-498,43.87
1795991,-3343,1932,-5216,1393,746,-548,43.82
1796011,-3271,1936,-5340,1505,734,-543,44.01
1796031,-3259,2168,-5488,1602,705,-514,43.87
1796051,-3187,2220,-5420,1543,716,-510,43.87
1796071,-3243,2084,-5624,1602,801,-457,44.06
1796091,-3259,2220,-5392,1614,690,-408,43.87
1796111,-3239,2244,-5212,1531,617,-457,43.87
1796131,-3247,2160,-5244,1468,563,-437,44.01
1796151,-3163,1960,-5428,1449,565,-407,43.97
1796171,-3291,1756,-5396,1504,470,-426,44.06
1796191,-3299,1596,-5504,1626,472,-435,44.15
1796211,-3267,1728,-5516,1895,604,-403,44.06
1796231,-3431,1904,-5508,2129,619,-425,44.20
1796251,-3471,2088,-5392,2267,524,-403,43.82
1796271,-3391,2216,-5320,2303,463,-401,43.82
1796291,-3383,2048,-5416,2250,395,-389,43.87
1796311,-3267,2068,-5268,2209,406,-396,43.78
1796331,-3159,2092,-5304,2114,398,-416,44.01
1796351,-3083,2148,-5536,1981,430,-375,43.97
1796371,-3051,2120,-5568,1858,509,-401,43.97
1796391,-3103,2124,-5408,1635,679,-434,43.82
1796411,-3163,2112,-5424,1485,665,-436,43.97
1796431,-3187,2108,-5424,1334,659,-510,44.01
1796451,-3267,2092,-5440,1474,640,-476,44.01
1796471,-3303,2240,-5508,1633,582,-463,43.97
1796491,-3419,2276,-5296,1741,533,-401,43.97
1796511,-3431,2184,-5248,1830,423,-361,44.15
1796531,-3299,2144,-5296,1920,378,-334,44.29
1796551,-3247,2140,-5308,2015,204,-273,43.97
1796571,-3207,2096,-5396,2097,218,-288,44.20
1796591,-3215,2164,-5312,2162,266,-369,44.01
1796611,-3147,2204,-5356,2013,297,-354,43.78
1796631,-3019,2000,-5324,1945,424,-416,43.78
1796651,-3231,2040,-5488,2048,537,-386,44.06
1796671,-3383,2296,-5392,2079,481,-459,44.01
1796691,-3327,2440,-5228,1865,455,-468,44.20
1796711,-3275,2432,-5164,1645,404,-440,43.97
1796731,-3223,2284,-5296,1427,438,-420,44.01
1796751,-3251,2068,-5292,1381,496,-422,44.06
1796771,-3175,1980,-5412,1396,487,-467,43.97
1796791,-3239,2012,-5280,1470,569,-520,43.97
1796811,-3423,2180,-5376,1432,566,-547,43.87
1796831,-3331,2236,-5324,1379,625,-505,44.01
1796851,-3335,2564,-5368,1319,660,-487,43.87
1796871,-3403,2596,-5244,1264,649,-460,44.06
1796891,-3271,2588,-5220,1150,581,-387,44.20
1796911,-3183,2424,-5180,1035,589,-364,44.01
1796931,-3111,2152,-5108,939,497,-357,43.87
1796951,-3103,1972,-5080,931,533,-382,43.82
1796971,-3155,2052,-5336,1003,548,-420,44.01
1796991,-3131,2096,-5368,1057,587,-440,43.82
1797011,-3171,2256,-5396,1058,717,-479,44.15
1797031,-3223,2452,-5416,1013,849,-443,43.87
1797051,-3055,2592,-5388,958,864,-339,44.06
1797071,-3091,2580,-5196,877,865,-278,43.82
1797091,-3103,2400,-5152,795,832,-303,44.06
1797111,-3143,2228,-5200,858,737,-293,44.06
1797131,-3107,2176,-5240,1046,762,-306,43.82
1797151,-3351,2300,-5104,1100,682,-264,44.06
1797171,-3283,2376,-5152,1080,588,-169,44.15
1797191,-3223,2396,-5312,1085,544,-155,44.01
1797211,-3227,2424,-5452,1248,623,-104,43.97
1797231,-3275,2488,-5364,1335,581,-138,44.20
1797251,-3283,2492,-5360,1228,611,-172,43.82
1797271,-3247,2464,-5176,1058,526,-188,44.15
1797291,-3187,2164,-5336,961,499,-252,43.82
1797311,-3207,2072,-5428,1046,528,-237,44.06
1797331,-3243,2136,-5396,1207,604,-269,43.78
1797351,-3387,2264,-5348,1176,616,-308,43.87
1797371,-3267,2452,-5288,1119,603,-344,44.01
1797391,-3219,2444,-5308,1017,574,-339,43.78
1797411,-3179,2336,-5492,969,618,-339,44.06
1797431,-3171,2288,-5476,1016,689,-336,43.97
1797451,-3279,2404,-5296,960,696,-394,43.82
1797471,-3311,2368,-5256,869,662,-442,43.87
1797491,-3215,2332,-5316,865,685,-405,43.87
1797511,-3227,2272,-5364,907,688,-375,44.01
1797531,-3115,2328,-5360,906,712,-321,44.06
1797551,-3167,2472,-5432,932,715,-330,44.01
1797571,-3043,2488,-5324,996,815,-336,44.15
1797591,-3171,2520,-5316,996,723,-341,44.15
1797611,-3219,2504,-5224,1019,690,-319,43.87
1797631,-3211,2500,-5280,945,660,-287,44.01
1797651,-3183,2372,-5412,978,619,-302,43.78
1797671,-3195,2292,-5520,972,616,-265,43.97
1797691,-3195,2296,-5508,1130,637,-197,43.82
1797711,-3151,2424,-5492,1281,651,-255,43.97
1797731,-3223,2356,-5268,1310,578,-306,44.01
