mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778213872.5219963,164162,-1.83,7.22,5.17,-1.62,0.66,0.83
1778213872.717458,164364,-1.84,7.30,5.04,-2.92,0.75,0.79
1778213872.927058,164566,-1.83,7.20,5.13,-1.00,0.61,0.92
1778213873.1222596,164768,-1.85,7.15,5.17,-2.23,0.76,0.93
1778213873.332295,164970,-1.77,7.17,5.10,-2.52,0.60,0.82
1778213873.5291016,165172,-1.81,7.21,5.11,-2.16,0.75,0.73
1778213873.7665224,165374,-1.86,7.20,5.11,-2.09,0.83,1.01
1778213873.9473019,165576,-1.80,7.21,5.08,-1.21,0.53,0.79
1778213874.1866515,165778,-1.86,7.22,4.94,-1.66,0.98,-0.47
1778213874.3663294,165980,-2.01,7.19,4.95,10.08,3.76,-1.74
1778213874.5473213,166182,-2.07,7.55,4.66,7.98,1.81,-2.26
1778213874.7885964,166384,-2.06,7.40,4.85,-1.66,0.24,1.94
1778213874.9677773,166586,-2.04,7.55,5.08,8.48,9.49,-0.11
1778213875.146359,166788,-13.18,9.30,8.84,117.21,-97.19,-59.85
1778213875.3879309,166990,-5.89,6.13,3.94,45.95,-120.15,-106.50
1778213875.567934,167192,0.68,10.55,2.30,30.21,-196.99,-111.27
1778213875.7473626,167394,-5.43,5.84,0.46,85.34,-161.80,-1.92
1778213875.9878242,167596,-3.09,11.52,-1.97,-22.56,3.54,0.74
1778213876.1670635,167798,-2.00,7.31,4.29,2.67,1.78,-10.75
1778213876.406933,168000,-2.40,7.16,4.63,-0.42,2.78,-16.15
1778213876.5864193,168202,-3.02,6.77,5.51,36.95,58.05,-75.61
1778213876.7689426,168404,-0.35,9.76,6.53,-10.21,-134.63,-65.63
1778213877.0073256,168606,-4.87,10.90,5.08,71.18,-129.25,207.05
1778213877.1876357,168808,-16.85,-3.36,4.60,140.52,-3.86,71.88
1778213877.3683312,169010,-0.65,6.94,5.74,-39.36,-5.21,-2.25
1778213877.6068606,169212,-2.02,7.15,4.79,-13.55,-1.73,-18.78
1778213877.7876167,169414,-1.88,6.90,5.22,18.51,79.25,-65.05
1778213877.9672663,169616,-10.52,18.46,17.34,8.54,-47.11,-137.29
1778213878.208495,169818,-4.26,9.01,5.75,122.47,-107.44,236.44
1778213878.3893034,170020,-19.62,-9.07,7.61,250.13,106.85,145.85
1778213878.627954,170222,-2.05,7.43,5.27,-42.89,-27.53,-10.14
1778213878.8097844,170424,-1.59,6.95,5.96,-16.46,-4.66,-10.89
1778213878.9869342,170626,-1.94,7.25,3.65,-5.57,25.05,-17.27
1778213879.228348,170828,-17.15,17.68,11.07,-154.98,172.43,-250.14
1778213879.4093966,171030,-3.64,6.79,-1.96,-44.82,-146.09,239.45
1778213879.5873737,171232,-19.62,12.57,-2.61,53.24,84.72,250.13
1778213879.8275864,171434,-10.48,5.85,19.33,-85.88,-107.15,-64.41
1778213880.011196,171636,-1.59,7.70,3.41,-23.90,0.73,-6.30
